,eigenvalue,explained_pct,cumulative_pct
PC1,3.7951429800795173,14.59650411826977,14.59650411826977
PC2,2.7782403084402914,10.685393492827538,25.281897611097307
PC3,2.3588051774765613,9.072203515903183,34.35410112700049
PC4,2.265496632471888,8.713329405341494,43.06743053234199
PC5,1.9186389621909812,7.3792796898805415,50.44671022222253
PC6,1.3534618708097026,5.205551378404457,55.652261600626986
PC7,1.311745606533676,5.045106402681541,60.697368003308526
PC8,1.0105376698065525,3.886630184006671,64.5839981873152
PC9,0.9289419449505739,3.5728047655323074,68.15680295284751
PC10,0.8637339938348484,3.322008383946526,71.47881133679404
PC11,0.850859832766283,3.272493057108261,74.7513043939023
PC12,0.7652979358046104,2.9434133391836785,77.69471773308598
PC13,0.693767618405144,2.6683004967999175,80.3630182298859
